report_nr,programm,projekttitel,antragsteller_innen_verantwortliche_personen,forderzeitraum_von,forderzeitraum_bis
3,Forschendes Lernen,Grow - Mit der Grounded Theory-Methodologie gemeinsam im Forschen wachsen,"Olga Neuberger, Inga Lotta Limpinsel, Raphaela Gilles, Prof. Dr. Sandra Aßmann",2021-01-01T00:00:00Z,2022-03-31T00:00:00Z
3,Forschendes Lernen,"KEVIN - Kooperative EValuationsforschung einer INformatik-Vorlesung
","Dr. Katja Serova, Selina Yek",2020-04-01T00:00:00Z,2022-09-30T00:00:00Z
3,Innovative Praxisprojekte,Den Campus mitgestalten! Gründung eines Zentrums für simulationsbasierte Lehre (ZSBL) an der RUB,"Prof. Dr. Joachim Wirth, Prof. Dr. Uta Wilkens, Prof. Dr. Thorsten Schäfer",2020-08-15T00:00:00Z,2021-08-15T00:00:00Z
3,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Dr. Sticker",Prof. Dr. Corinna Mieth,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
3,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Araujo",Prof. Dr. Corinna Mieth,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
3,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Moolio",Prof. Dr. Corinna Mieth,2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
3,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Pinzani",Prof. Dr. Corinna Mieth,2020-10-01T00:00:00Z,2021-03-31T00:00:00Z
4,eLearning-Wettbewerb 5x5000,LAMPE - Learning About Methods with Personalized E-Learning-Tools,"Dr. Katja Serova, Cosima Quirl, Inga Lotte Limpinsel, Bernadette Hagen",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
4,eLearning-Wettbewerb 5x5000,"Theorien verstehen am CASE durch Collaboration, Anwendung, Situiertheit und Elaboration","Dr. Valentina Nachtigall, Berke Kücük, Prof. Dr. Nikol Rummel",2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
4,Forschendes Lernen,Grow - Mit der Grounded Theory-Methodologie gemeinsam im Forschen wachsen,"Olga Neuberger, Inga Lotta Limpinsel, Raphaela Gilles, Prof. Dr. Sandra Aßmann",2021-01-01T00:00:00Z,2022-03-31T00:00:00Z
4,Forschendes Lernen,"KEVIN - Kooperative EValuationsforschung einer INformatik-Vorlesung
","Dr. Katja Serova, Selina Yek",2020-04-01T00:00:00Z,2022-09-30T00:00:00Z
4,Innovative Praxisprojekte,Den Campus mitgestalten! Gründung eines Zentrums für simulationsbasierte Lehre (ZSBL) an der RUB,"Prof. Dr. Joachim Wirth, Prof. Dr. Uta Wilkens, Prof. Dr. Thorsten Schäfer",2020-08-15T00:00:00Z,2021-08-15T00:00:00Z
4,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Dr. Sticker",Prof. Dr. Corinna Mieth,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
4,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Araujo",Prof. Dr. Corinna Mieth,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
4,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Moolio",Prof. Dr. Corinna Mieth,2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
4,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Pinzani",Prof. Dr. Corinna Mieth,2020-10-01T00:00:00Z,2021-03-31T00:00:00Z
5,eLearning-Wettbewerb 5x5000,LAMPE - Learning About Methods with Personalized E-Learning-Tools,"Dr. Katja Serova, Cosima Quirl, Inga Lotte Limpinsel, Bernadette Hagen",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
5,eLearning-Wettbewerb 5x5000,"Theorien verstehen am CASE durch Collaboration, Anwendung, Situiertheit und Elaboration","Dr. Valentina Nachtigall, Berke Kücük, Prof. Dr. Nikol Rummel",2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
5,Forschendes Lernen,Grow - Mit der Grounded Theory-Methodologie gemeinsam im Forschen wachsen,"Olga Neuberger, Inga Lotta Limpinsel, Raphaela Gilles, Prof. Dr. Sandra Aßmann",2021-01-01T00:00:00Z,2022-03-31T00:00:00Z
5,Forschendes Lernen,"KEVIN - Kooperative EValuationsforschung einer INformatik-Vorlesung
","Dr. Katja Serova, Selina Yek",2020-04-01T00:00:00Z,2022-09-30T00:00:00Z
5,Innovative Praxisprojekte,Den Campus mitgestalten! Gründung eines Zentrums für simulationsbasierte Lehre (ZSBL) an der RUB,"Prof. Dr. Joachim Wirth, Prof. Dr. Uta Wilkens, Prof. Dr. Thorsten Schäfer",2020-08-15T00:00:00Z,2021-08-15T00:00:00Z
5,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Dr. Sticker",Prof. Dr. Corinna Mieth,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
5,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Araujo",Prof. Dr. Corinna Mieth,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
5,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Moolio",Prof. Dr. Corinna Mieth,2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
5,Visiting Professors Linie 1,"EELP-Gastlehrstuhl, Gastdoz. Prof. Pinzani",Prof. Dr. Corinna Mieth,2020-10-01T00:00:00Z,2021-03-31T00:00:00Z
6,eLearning-Wettbewerb 5x5000,#history – Geschichte(n) erzählen mit dem Smartphone,Mia Berg,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
6,eLearning-Wettbewerb 5x5000,EDIT – gEschichte DIgiTal produzieren,"Jun.-Prof. Dr. Christian Bunnenberg, Theresa Hiller, Elena Lewers",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
6,eLearning-Wettbewerb 5x5000,Lehrsammlungen in Bewegung,Dr. Soi Agelidis,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
6,Forschendes Lernen,Außer Spesen nichts gewesen? - Schulden und öffentliche Haushalte im Mittelalter am Beispiel der Stadtrechnungen von Kalkar.,Dr. Jens Lieven,2019-10-01T00:00:00Z,2020-09-30T00:00:00Z
6,Forschendes Lernen,Ausstellungen eigenständig gestalten im Masterstudiengang Public History,Jun.-Prof. Dr. Christian Bunnenberg,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
6,Forschendes Lernen,Landschaftsarchäologie begreifen. Entwicklung eigenständiger Forschungsansätze im Rahmen der Feldforschungsprojekte der Ur- und Frühgeschichte,"Jun.-Prof. Dr. Constance von Rüden, Prof. Dr. Thomas Stöllner, Dr. des. Aydin Abar",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
6,Forschendes Lernen,Making History: Thematische und methodische Einblicke in die Erstellung von geschichtswissenschaftlichen Bachelorarbeiten,"Anna Victoria Breidenbach, Robert Queckenberg, Prof. Dr. Christian Wendt, Jun.-Prof. Dr. Tim Neu, Jun.-Prof. Dr. Juliane Czierpka",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
6,Forschendes Lernen,Von der Neugier zur Publikation. Einblicke in die Projektentwicklung und die Durchführung archäologischer Feldforschung in den tridentiner Alpen (Italien),Dr. des. Aydin Abar,2021-04-01T00:00:00Z,2021-10-31T00:00:00Z
6,"Forschendes Lernen, Schwerpunkt Data Science",DigiAttika 2.0: Analytische Ansätze zu einem digitalen Repositorium,Dr. phil. Barbora Weissova,2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
6,"Forschendes Lernen, Schwerpunkt Data Science","Interaktivierung eines Staubfängers:
Das Potential archivarischer Daten entdecken und mit Data Science erschließen",Dr. Barbora Weissova,2020-10-01T00:00:00Z,2022-03-31T00:00:00Z
6,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
6,Studentische Initiativprojekte,Lernen Durch Erinnern,"Sebastian Döpp, Thorben Pieper, Luise Mohr, Chris Buchholz, Jano Meyer, Janina Schäuffele",2019-10-01T00:00:00Z,2021-03-31T00:00:00Z
7,eLearning-Wettbewerb 5x5000,#history – Geschichte(n) erzählen mit dem Smartphone,Mia Berg,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
7,eLearning-Wettbewerb 5x5000,EDIT – gEschichte DIgiTal produzieren,"Jun.-Prof. Dr. Christian Bunnenberg, Theresa Hiller, Elena Lewers",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
7,eLearning-Wettbewerb 5x5000,Lehrsammlungen in Bewegung,Dr. Soi Agelidis,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
7,Forschendes Lernen,Außer Spesen nichts gewesen? - Schulden und öffentliche Haushalte im Mittelalter am Beispiel der Stadtrechnungen von Kalkar.,Dr. Jens Lieven,2019-10-01T00:00:00Z,2020-09-30T00:00:00Z
7,Forschendes Lernen,Ausstellungen eigenständig gestalten im Masterstudiengang Public History,Jun.-Prof. Dr. Christian Bunnenberg,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
7,Forschendes Lernen,Landschaftsarchäologie begreifen. Entwicklung eigenständiger Forschungsansätze im Rahmen der Feldforschungsprojekte der Ur- und Frühgeschichte,"Jun.-Prof. Dr. Constance von Rüden, Prof. Dr. Thomas Stöllner, Dr. des. Aydin Abar",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
7,Forschendes Lernen,Making History: Thematische und methodische Einblicke in die Erstellung von geschichtswissenschaftlichen Bachelorarbeiten,"Anna Victoria Breidenbach, Robert Queckenberg, Prof. Dr. Christian Wendt, Jun.-Prof. Dr. Tim Neu, Jun.-Prof. Dr. Juliane Czierpka",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
7,Forschendes Lernen,Von der Neugier zur Publikation. Einblicke in die Projektentwicklung und die Durchführung archäologischer Feldforschung in den tridentiner Alpen (Italien),Dr. des. Aydin Abar,2021-04-01T00:00:00Z,2021-10-31T00:00:00Z
7,"Forschendes Lernen, Schwerpunkt Data Science",DigiAttika 2.0: Analytische Ansätze zu einem digitalen Repositorium,Dr. phil. Barbora Weissova,2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
7,"Forschendes Lernen, Schwerpunkt Data Science","Interaktivierung eines Staubfängers:
Das Potential archivarischer Daten entdecken und mit Data Science erschließen",Dr. Barbora Weissova,2020-10-01T00:00:00Z,2022-03-31T00:00:00Z
7,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
7,Studentische Initiativprojekte,Lernen Durch Erinnern,"Sebastian Döpp, Thorben Pieper, Luise Mohr, Chris Buchholz, Jano Meyer, Janina Schäuffele",2019-10-01T00:00:00Z,2021-03-31T00:00:00Z
8,eLearning-Wettbewerb 5x5000,#history – Geschichte(n) erzählen mit dem Smartphone,Mia Berg,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
8,eLearning-Wettbewerb 5x5000,EDIT – gEschichte DIgiTal produzieren,"Jun.-Prof. Dr. Christian Bunnenberg, Theresa Hiller, Elena Lewers",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
8,eLearning-Wettbewerb 5x5000,Lehrsammlungen in Bewegung,Dr. Soi Agelidis,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
8,Forschendes Lernen,Außer Spesen nichts gewesen? - Schulden und öffentliche Haushalte im Mittelalter am Beispiel der Stadtrechnungen von Kalkar.,Dr. Jens Lieven,2019-10-01T00:00:00Z,2020-09-30T00:00:00Z
8,Forschendes Lernen,Ausstellungen eigenständig gestalten im Masterstudiengang Public History,Jun.-Prof. Dr. Christian Bunnenberg,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
8,Forschendes Lernen,Landschaftsarchäologie begreifen. Entwicklung eigenständiger Forschungsansätze im Rahmen der Feldforschungsprojekte der Ur- und Frühgeschichte,"Jun.-Prof. Dr. Constance von Rüden, Prof. Dr. Thomas Stöllner, Dr. des. Aydin Abar",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
8,Forschendes Lernen,Making History: Thematische und methodische Einblicke in die Erstellung von geschichtswissenschaftlichen Bachelorarbeiten,"Anna Victoria Breidenbach, Robert Queckenberg, Prof. Dr. Christian Wendt, Jun.-Prof. Dr. Tim Neu, Jun.-Prof. Dr. Juliane Czierpka",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
8,Forschendes Lernen,Von der Neugier zur Publikation. Einblicke in die Projektentwicklung und die Durchführung archäologischer Feldforschung in den tridentiner Alpen (Italien),Dr. des. Aydin Abar,2021-04-01T00:00:00Z,2021-10-31T00:00:00Z
8,"Forschendes Lernen, Schwerpunkt Data Science",DigiAttika 2.0: Analytische Ansätze zu einem digitalen Repositorium,Dr. phil. Barbora Weissova,2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
8,"Forschendes Lernen, Schwerpunkt Data Science","Interaktivierung eines Staubfängers:
Das Potential archivarischer Daten entdecken und mit Data Science erschließen",Dr. Barbora Weissova,2020-10-01T00:00:00Z,2022-03-31T00:00:00Z
8,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
8,Studentische Initiativprojekte,Lernen Durch Erinnern,"Sebastian Döpp, Thorben Pieper, Luise Mohr, Chris Buchholz, Jano Meyer, Janina Schäuffele",2019-10-01T00:00:00Z,2021-03-31T00:00:00Z
9,eLearning-Wettbewerb 5x5000,#history – Geschichte(n) erzählen mit dem Smartphone,Mia Berg,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
9,eLearning-Wettbewerb 5x5000,EDIT – gEschichte DIgiTal produzieren,"Jun.-Prof. Dr. Christian Bunnenberg, Theresa Hiller, Elena Lewers",2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
9,eLearning-Wettbewerb 5x5000,Lehrsammlungen in Bewegung,Dr. Soi Agelidis,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
9,Forschendes Lernen,Außer Spesen nichts gewesen? - Schulden und öffentliche Haushalte im Mittelalter am Beispiel der Stadtrechnungen von Kalkar.,Dr. Jens Lieven,2019-10-01T00:00:00Z,2020-09-30T00:00:00Z
9,Forschendes Lernen,Ausstellungen eigenständig gestalten im Masterstudiengang Public History,Jun.-Prof. Dr. Christian Bunnenberg,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
9,Forschendes Lernen,Landschaftsarchäologie begreifen. Entwicklung eigenständiger Forschungsansätze im Rahmen der Feldforschungsprojekte der Ur- und Frühgeschichte,"Jun.-Prof. Dr. Constance von Rüden, Prof. Dr. Thomas Stöllner, Dr. des. Aydin Abar",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
9,Forschendes Lernen,Making History: Thematische und methodische Einblicke in die Erstellung von geschichtswissenschaftlichen Bachelorarbeiten,"Anna Victoria Breidenbach, Robert Queckenberg, Prof. Dr. Christian Wendt, Jun.-Prof. Dr. Tim Neu, Jun.-Prof. Dr. Juliane Czierpka",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
9,Forschendes Lernen,Von der Neugier zur Publikation. Einblicke in die Projektentwicklung und die Durchführung archäologischer Feldforschung in den tridentiner Alpen (Italien),Dr. des. Aydin Abar,2021-04-01T00:00:00Z,2021-10-31T00:00:00Z
9,"Forschendes Lernen, Schwerpunkt Data Science",DigiAttika 2.0: Analytische Ansätze zu einem digitalen Repositorium,Dr. phil. Barbora Weissova,2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
9,"Forschendes Lernen, Schwerpunkt Data Science","Interaktivierung eines Staubfängers:
Das Potential archivarischer Daten entdecken und mit Data Science erschließen",Dr. Barbora Weissova,2020-10-01T00:00:00Z,2022-03-31T00:00:00Z
9,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
9,Studentische Initiativprojekte,Lernen Durch Erinnern,"Sebastian Döpp, Thorben Pieper, Luise Mohr, Chris Buchholz, Jano Meyer, Janina Schäuffele",2019-10-01T00:00:00Z,2021-03-31T00:00:00Z
10,eLearning-Wettbewerb 5x5000,Learning Hubs – das Smartphone als e-Learning Tool und Analysegegenstand im Bereich der Virtual Reality,Janou Feikens,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
10,eLearning-Wettbewerb 5x5000,Mediävistisches Varieté: Eine Bühne für die mittelalterliche Sprache und Literatur,PD Dr. Michael Ralf Ott,2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
10,eLearning-Wettbewerb 5x5000,"Ready, Set, Play! Game based Learning und Blended Learning in der Medienwissenschaft",Janou Feikens,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
10,Forschendes Lernen,Der künstliche Text. Eine Editionswerkstatt zu Konrads von Würzburgs 'Engelhard'.,Dr. phil. Lina Herz,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
10,Forschendes Lernen,Digitale Methoden in der Klassischen Philologie: „Dyskolos“ digital,Julia Jennifer Beine,2021-10-01T00:00:00Z,2022-03-31T00:00:00Z
10,Forschendes Lernen,"Literarische Topographie. Erstellung einer interaktiven Online-Karte zu Ernst Jüngers Roman ""Heliopolis""",Dr. Manuel Mackasare,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
10,Forschendes Lernen,Pergament und Mikrofon: Ein Mediävistischer Podcast,"Holger Kahle, Anika Meißner",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
10,Forschendes Lernen,Sprache - Literatur - Kultur: Chile im Spanischunterricht,"Jun.-Prof. Dr. Yasmin Temelli, Prof. Dr. Christian Grünnagel, Prof. Dr. Judith Visser",2019-06-01T00:00:00Z,2019-08-31T00:00:00Z
10,"Forschendes Lernen, Schwerpunkt Data Science",Digitale Analyse großer Textkorpora,"Dr. Stephanie Heimgartner, Jun.-Prof. Dr. Tatjana Scheffler, Prof. Dr. Stefanie Dipper, Prof. Dr. Judith Visser",2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
10,"Forschendes Lernen, Schwerpunkt Data Science",LIMELDAS: Linguistische Methoden: Linguistic Data Science,"Prof. Dr. Eva Belke, Jun.-Prof. Dr. Agata Renans, Prof. Dr. Stefanie Dipper, Prof. Dr. Tanja Anstatt, Prof. Dr. Judith Visser, Prof. Dr. Lena Heine, Prof. Dr. Eric Fuß, Prof. Dr. Karin Pittner, Jun.-Prof. Dr. Tatjana Scheffler",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
10,Innovative Praxisprojekte,Technikzukünfte in der deutschsprachigen Science-Fiction-Literatur. Literaturwissenschaft als soziale Praxis,"Prof. Dr. Ralph Köhnen, Markus Tillmann",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
10,Innovative Praxisprojekte,WORTWORTWORT. Begleitung eines Literaturfestivals,Dr. Stephanie Heimgartner,2020-09-01T00:00:00Z,2021-03-31T00:00:00Z
10,inSTUDIES/Summer Schools,„tl;dr“ Too long; didn’t read (?) Große Textmengen computergestützt analysieren,"Dr. Frederik Elwert, Lena Liefke, Dr. Stephanie Heimgartner, Sebastian Gerhartz, Stefan Reiners",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
10,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
10,Lerninfrastrukturprogramm,Virtual Humanities Lab,Prof.  Dr. Florian Sprenger,2021-07-22T00:00:00Z,NA
10,Studentische Initiativprojekte,Die Sprache der Dinge,"Samira Kleinschmidt, Clara Stolz",2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
10,Studentische Initiativprojekte,Fake News,"Jennifer Haas, Julia Schmidt, Christina Lammering",2019-10-01T00:00:00Z,2020-12-31T00:00:00Z
10,Studentische Initiativprojekte,HERMAION 3.0,"Robert Queckenberg, Carina Liebel, Kristina Ahrens",2019-04-01T00:00:00Z,NA
10,Studentische Initiativprojekte,Ungebunden. Projekt Literaturagentur,"Nina Kullmann, Lisa Brammertz, Marlon Brand",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
12,eLearning-Wettbewerb 5x5000,Learning Hubs – das Smartphone als e-Learning Tool und Analysegegenstand im Bereich der Virtual Reality,Janou Feikens,2021-08-19T00:00:00Z,2022-03-31T00:00:00Z
12,eLearning-Wettbewerb 5x5000,Mediävistisches Varieté: Eine Bühne für die mittelalterliche Sprache und Literatur,PD Dr. Michael Ralf Ott,2021-03-04T00:00:00Z,2021-09-30T00:00:00Z
12,eLearning-Wettbewerb 5x5000,"Ready, Set, Play! Game based Learning und Blended Learning in der Medienwissenschaft",Janou Feikens,2020-02-19T00:00:00Z,2020-09-30T00:00:00Z
12,Forschendes Lernen,Der künstliche Text. Eine Editionswerkstatt zu Konrads von Würzburgs 'Engelhard'.,Dr. phil. Lina Herz,2019-10-01T00:00:00Z,2020-03-31T00:00:00Z
12,Forschendes Lernen,Digitale Methoden in der Klassischen Philologie: „Dyskolos“ digital,Julia Jennifer Beine,2021-10-01T00:00:00Z,2022-03-31T00:00:00Z
12,Forschendes Lernen,"Literarische Topographie. Erstellung einer interaktiven Online-Karte zu Ernst Jüngers Roman ""Heliopolis""",Dr. Manuel Mackasare,2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
12,Forschendes Lernen,Pergament und Mikrofon: Ein Mediävistischer Podcast,"Holger Kahle, Anika Meißner",2020-10-01T00:00:00Z,2021-09-30T00:00:00Z
12,Forschendes Lernen,Sprache - Literatur - Kultur: Chile im Spanischunterricht,"Jun.-Prof. Dr. Yasmin Temelli, Prof. Dr. Christian Grünnagel, Prof. Dr. Judith Visser",2019-06-01T00:00:00Z,2019-08-31T00:00:00Z
12,"Forschendes Lernen, Schwerpunkt Data Science",Digitale Analyse großer Textkorpora,"Dr. Stephanie Heimgartner, Jun.-Prof. Dr. Tatjana Scheffler, Prof. Dr. Stefanie Dipper, Prof. Dr. Judith Visser",2021-10-01T00:00:00Z,2022-09-30T00:00:00Z
12,"Forschendes Lernen, Schwerpunkt Data Science",LIMELDAS: Linguistische Methoden: Linguistic Data Science,"Prof. Dr. Eva Belke, Jun.-Prof. Dr. Agata Renans, Prof. Dr. Stefanie Dipper, Prof. Dr. Tanja Anstatt, Prof. Dr. Judith Visser, Prof. Dr. Lena Heine, Prof. Dr. Eric Fuß, Prof. Dr. Karin Pittner, Jun.-Prof. Dr. Tatjana Scheffler",2020-09-01T00:00:00Z,2021-08-31T00:00:00Z
12,Innovative Praxisprojekte,Technikzukünfte in der deutschsprachigen Science-Fiction-Literatur. Literaturwissenschaft als soziale Praxis,"Prof. Dr. Ralph Köhnen, Markus Tillmann",2021-04-01T00:00:00Z,2022-03-31T00:00:00Z
12,Innovative Praxisprojekte,WORTWORTWORT. Begleitung eines Literaturfestivals,Dr. Stephanie Heimgartner,2020-09-01T00:00:00Z,2021-03-31T00:00:00Z
12,inSTUDIES/Summer Schools,„tl;dr“ Too long; didn’t read (?) Große Textmengen computergestützt analysieren,"Dr. Frederik Elwert, Lena Liefke, Dr. Stephanie Heimgartner, Sebastian Gerhartz, Stefan Reiners",2020-04-01T00:00:00Z,2021-03-31T00:00:00Z
12,interLECTURE,No-Go-Areas erfoschren: Aspekte räumlicher Begrenzung und ihrer Medialisierung,"Dr. Stephanie Heimgartner, Dr. Hilde Hoffmann, Dr. Olena Petrenko,",2020-04-01T00:00:00Z,2020-09-30T00:00:00Z
12,Lerninfrastrukturprogramm,Virtual Humanities Lab,Prof.  Dr. Florian Sprenger,2021-07-22T00:00:00Z,NA
12,Studentische Initiativprojekte,Die Sprache der Dinge,"Samira Kleinschmidt, Clara Stolz",2019-04-01T00:00:00Z,2019-09-30T00:00:00Z
12,Studentische Initiativprojekte,Fake News,"Jennifer Haas, Julia Schmidt, Christina Lammering",2019-10-01T00:00:00Z,2020-12-31T00:00:00Z
12,Studentische Initiativprojekte,HERMAION 3.0,"Robert Queckenberg, Carina Liebel, Kristina Ahrens",2019-04-01T00:00:00Z,NA
12,Studentische Initiativprojekte,Ungebunden. Projekt Literaturagentur,"Nina Kullmann, Lisa Brammertz, Marlon Brand",2019-04-01T00:00:00Z,2020-09-30T00:00:00Z
